Date,Close,High,Low,Open,Volume
2020-01-02,67.96522521972656,67.96522521972656,66.86332820436425,66.95867127115037,27278000
2020-01-03,67.60968017578125,68.21699501628234,66.90454453964605,66.9383158243975,23408000
2020-01-06,69.41175842285156,69.4370812039188,67.08729078696965,67.11856919518195,46768000
2020-01-07,69.2776870727539,69.69431580950295,69.10140504019108,69.54335656021222,34330000
2020-01-08,69.77078247070312,70.10894997178289,69.15453414305767,69.26328117365361,35314000
2020-01-09,70.50322723388672,70.94467861110725,70.02750448166115,70.6094889546629,33200000
2020-01-10,70.95858764648438,71.25554310798687,70.49379866523805,70.98391800569446,26258000
2020-01-13,71.50830078125,71.5802987088555,70.78032005165358,71.27093190331932,30730000
2020-01-14,71.03953552246094,71.63740929797085,70.89949492783481,71.50680981258097,26076000
2020-01-15,71.46707916259766,71.54554038332928,71.09266267189435,71.16019766565398,21550000
2020-01-16,72.01133728027344,72.03815275975688,71.50681377041046,71.77744628827148,26080000
2020-01-17,73.46927642822266,73.52042208698715,72.32864488929332,72.6260928863984,52424000
2020-01-21,73.6048355102539,73.98372249370233,73.00695421443795,73.44344256674036,48930000
2020-01-22,73.6852798461914,74.51505937450915,73.6252007502099,73.97627967986148,28458000
2020-01-23,73.72600555419922,74.16349415742818,73.50900399356541,73.86803136699017,26650000
2020-01-24,72.80635833740234,74.19825534143845,72.6578767961083,74.12972773072896,29786000
2020-01-27,71.09615325927734,71.33699250078811,70.48883829793303,71.08671972598552,34132000
2020-01-28,72.0282211303711,72.24174479037791,71.02811510182957,71.59321781876741,29724000
2020-01-29,72.33609008789062,72.70554357944198,71.77446531610946,72.42348475495831,21566000
2020-01-30,72.21443939208984,72.26409235853124,71.25853075675514,71.41246783385319,27110000
2020-01-31,71.14828491210938,72.98014809578615,70.8642408722417,72.89026812670592,43822000
2020-02-03,73.62222290039062,73.80596084309201,72.33162467760039,72.58189744131957,71636000
2020-02-04,71.77545928955078,72.86444505255666,70.61446801787635,72.2263518292056,95880000
2020-02-05,71.80723571777344,72.72738774441514,70.99434560329382,72.67921990211404,36376000
2020-02-06,73.29298400878906,73.57057229670284,72.02721627071665,72.1016994935962,37822000
2020-02-07,73.44891357421875,73.75380988182637,72.76860814708976,72.866929041931,28360000
2020-02-10,74.91629028320312,74.92721651036499,73.25475361833762,73.35555980846348,38302000
